,restaurant_id,score,review
0,1752573248,5,내용이 없습니다
1,1752573248,4,쫄깃쫄깃한게 너무 맛있습니다
2,1752573248,5,항상 친절하시고 맛있어요!!!!!
3,1752573248,5,내용이 없습니다
4,1752573248,5,쫄깃쫄깃 달달한 맛 너무 맛있어요
5,1752573248,5,이 집땜에 살쪄요. 책임지고 영원히 팔아주세요
6,1752573248,5,꽈배기 맛집
7,1752573248,5,꽈배기 다른집도 많지만 이 집이 유독 쫄깃하고 엄청 맛나요
8,1752573248,5,쫀득쫀득~~ 맛있어요 그리고 직원분들도 너무 착하셔요 ~
9,1752573248,5,진짜 다른 스마일 보다 훨씬 맛있고 친절함~~
10,1752573248,4,꽈배기 is pretty good.
11,1752573248,5,최고의 꽈배기!
0,1990714242,4,처음 먹었는데 맛있었어요 오뎅이 좀 아쉽
1,1990714242,5,정말 맛있네요 평소에 떡볶이를 자주먹는편이 아닌데도 맛있게 잘먹었습니다
0,50939202,3,내용이 없습니다
1,50939202,3,너무 좋아하는 곳이었는데요 리모델링 예정보다 한참 하시더니 더 별로 됐어요. 인스타 감성 카페 추구하시는 것 같은데 위치도 위치고 그런 것보다 예전의 인테리어 음료 분위기가 훨씬 좋아요... 그래서 아쉽지만 아직도 집 근처 이만한 카페는 없으니까 가요
2,50939202,3,여기 와플 없습니다. 밑에 댓글이 별점조작으로 보입니다.
3,50939202,5,아직 리모델링 중이에요
4,50939202,5,내용이 없습니다
5,50939202,1,반려동물 동반 표시는 삭제 부탁 해요
6,50939202,5,"최애 카페에요 :) !!!!! 친구 만나기도, 혼자 작업 하기도 편하고 음료도 빵도 분위기도 여기가 유럽인지 마포구인지 모를 일입니다 앞으로도 자주 갈게요 :)"
7,50939202,5,내용이 없습니다
8,50939202,5,"쾌적, 의자 편하고, 분위기 괜찮은 개인카페."
9,50939202,4,내용이 없습니다
10,50939202,5,내용이 없습니다
11,50939202,5,선곡이 훌륭하고 인테리어가 깔끔하다.
12,50939202,5,"먹느라 바빠서 사진 못찍어가지고 인스타그램에서 가져왔네여.. ㅎ; 저는 주로 카페 시그니처 메뉴 고르는 편이라 리카르도 시그니처인 데로씨 라떼 먹어봤는데데 진심 존맛이네요,, 콜드브루 얼음이 데코된것도 귀여움 ~~~"
13,50939202,5,내용이 없습니다
14,50939202,5,주차가 되어서 저어어엉말 편합니다. 맛도 좋아요
15,50939202,5,산미있는 피피아일랜드가 개인적으로 최고의 픽
16,50939202,5,제대로 로스팅된 듯한 원두의 커피맛이 너무 좋아요! 사진엔 없지만 스트로베리 스콘도 너무너무 맛있고 살짝 데워서 먹으면 정말 맛있음 ㅠㅠ 와플 계속 생각나고 ㅠㅠ 런치식사도 가능해서 편리해요!
17,50939202,5,내용이 없습니다
18,50939202,5,"데로씨라떼를 추천,,! 고급진 더위사냥맛? 콜드브루 들어간 음료를 싫어했는데,, 데로씨라떼 맛보고 이것만 사먹음 ㅇㅇ"
19,50939202,5,커피 개맛있음!! 과제하러 갔는데 분위기도 조용하고 평화로워서 집중 잘됐어요! 보니까 점심도 맨날 다른걸로 나오는 것 같은데 담에는 점심 먹으러도 가보고싶어요!
20,50939202,5,딸기라떼 존맛탱ㅠ 딸기퓨레가 진짜 제대로 임니다 ㅠㅠ
21,50939202,5,"광흥창 주변에 비슷한 식당뿐이었는데, 매일 점심시간에 메뉴 고민하지 않고 해결할 수 있어서 좋네요."
22,50939202,5,커피가 가장 제 취향이에요..맛있어요 직원분들도 워낙 친절하시고..
23,50939202,5,디저트와 음료가 제 취향이네요. 메뉴 종류도 많고 매일 바뀌는 런치도 맛있어요 ;)
24,50939202,5,내용이 없습니다
25,50939202,5,런치맛집:) 매일매일 다르게 나오는 메뉴 진짜 쵝오
26,50939202,5,아메리카노 + 얼그레이 쇼콜라 케이크 조합 최고
27,50939202,5,내용이 없습니다
